name;prob_fac;sex;year
Renate;147.5;female;1948
Monika;141.6;female;1948
Karin;135.7;female;1948
Brigitte;129.8;female;1948
Ursula;123.9;female;1948
Gisela;118.0;female;1948
Ingrid;112.1;female;1948
Helga;106.2;female;1948
Barbara;100.3;female;1948
Christa;94.4;female;1948
Hannelore;88.5;female;1948
Jutta;59;female;1948
Marion;59;female;1948
Angelika;59;female;1948
Bärbel;59;female;1948
Christel;59;female;1948
Gabriele;59;female;1948
Birgit;59;female;1948
Maria;59;female;1948
Marianne;59;female;1948
Elke;59;female;1948
Marlies;59;female;1948
Inge;59;female;1948
Erika;59;female;1948
Eva;59;female;1948
Rosemarie;59;female;1948
Doris;59;female;1948
Heike;59;female;1948
Ute;59;female;1948
Sigrid;59;female;1948
Waltraud;59;female;1948
Annegret;59;female;1948
Ingeborg;59;female;1948
Rita;59;female;1948
Sabine;59;female;1948
Hans;147.5;male;1948
Wolfgang;141.6;male;1948
Klaus;135.7;male;1948
Peter;129.8;male;1948
Jürgen;123.9;male;1948
Bernd;118.0;male;1948
Manfred;112.1;male;1948
Carl / Karl;106.2;male;1948
Horst;100.3;male;1948
Werner;94.4;male;1948
Günter / Günther;88.5;male;1948
Michael;59;male;1948
Rolf;59;male;1948
Dieter;59;male;1948
Rainer;59;male;1948
Uwe;59;male;1948
Heinz;59;male;1948
Gerhard;59;male;1948
Joachim;59;male;1948
Helmut / Helmuth;59;male;1948
Reinhardt;59;male;1948
Holger;59;male;1948
Walter;59;male;1948
Gerd / Gert;59;male;1948
Harald;59;male;1948
Herbert;59;male;1948
Thomas;59;male;1948
Ulrich;59;male;1948
Norbert;59;male;1948
Bernhard;59;male;1948
Josef / Joseph;59;male;1948
Jens;59;male;1948
Detlev;59;male;1948
Hermann;59;male;1948
Siegfried;59;male;1948
Renate;150.0;female;1949
Monika;144.0;female;1949
Brigitte;138.0;female;1949
Karin;132.0;female;1949
Ursula;126.0;female;1949
Ingrid;120.0;female;1949
Angelika;114.0;female;1949
Gisela;108.0;female;1949
Barbara;102.0;female;1949
Helga;96.0;female;1949
Marion;90.0;female;1949
Hannelore;60;female;1949
Jutta;60;female;1949
Christa;60;female;1949
Gabriele;60;female;1949
Maria;60;female;1949
Bärbel;60;female;1949
Elke;60;female;1949
Birgit;60;female;1949
Christel;60;female;1949
Marianne;60;female;1949
Marlies;60;female;1949
Erika;60;female;1949
Petra;60;female;1949
Dagmar;60;female;1949
Ute;60;female;1949
Rita;60;female;1949
Waltraud;60;female;1949
Margret;60;female;1949
Annegret;60;female;1949
Eva;60;female;1949
Gudrun;60;female;1949
Inge;60;female;1949
Sabine;60;female;1949
Sigrid;60;female;1949
Hans;150.0;male;1949
Wolfgang;144.0;male;1949
Klaus;138.0;male;1949
Peter;132.0;male;1949
Manfred;126.0;male;1949
Jürgen;120.0;male;1949
Bernd;114.0;male;1949
Günter / Günther;108.0;male;1949
Werner;102.0;male;1949
Carl / Karl;96.0;male;1949
Michael;90.0;male;1949
Heinz;60;male;1949
Dieter;60;male;1949
Rainer;60;male;1949
Horst;60;male;1949
Gerhard;60;male;1949
Helmut / Helmuth;60;male;1949
Rolf;60;male;1949
Uwe;60;male;1949
Joachim;60;male;1949
Reinhardt;60;male;1949
Thomas;60;male;1949
Gerd / Gert;60;male;1949
Holger;60;male;1949
Harald;60;male;1949
Herbert;60;male;1949
Walter;60;male;1949
Norbert;60;male;1949
Frank;60;male;1949
Georg;60;male;1949
Jens;60;male;1949
Josef / Joseph;60;male;1949
Ulrich;60;male;1949
Hartmut;60;male;1949
Rudolf;60;male;1949
Karin;132.5;female;1942
Renate;127.2;female;1942
Elke;121.9;female;1942
Monika;116.6;female;1942
Ingrid;111.3;female;1942
Ursula;106.0;female;1942
Helga;100.7;female;1942
Gisela;95.4;female;1942
Christa;90.1;female;1942
Erika;84.8;female;1942
Bärbel;79.5;female;1942
Brigitte;53;female;1942
Hannelore;53;female;1942
Heike;53;female;1942
Anke;53;female;1942
Heidi;53;female;1942
Barbara;53;female;1942
Christel;53;female;1942
Ute;53;female;1942
Waltraud;53;female;1942
Jutta;53;female;1942
Inge;53;female;1942
Ingeborg;53;female;1942
Sigrid;53;female;1942
Marion;53;female;1942
Antje;53;female;1942
Marianne;53;female;1942
